Namespace(batch_size=32, epochs=200, eval=0, exp_name='32121++', lr=0.001, model_path='checkpoints/32121+/best_model.t7', momentum=0.9, no_cuda=False, num_points=1024, seed=1, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 2 devices
Train 41, loss: 1.536423, train acc: 0.921722, train avg acc: 0.881070
Test 41, loss: 1.583615, test acc: 0.883306, test avg acc: 0.855052
Train 42, loss: 1.528290, train acc: 0.925590, train avg acc: 0.883679
Test 42, loss: 1.550044, test acc: 0.896272, test avg acc: 0.859279
Train 43, loss: 1.521686, train acc: 0.929458, train avg acc: 0.892804
Test 43, loss: 1.524938, test acc: 0.901945, test avg acc: 0.871424
Train 44, loss: 1.523641, train acc: 0.928135, train avg acc: 0.889613
Test 44, loss: 1.527286, test acc: 0.904781, test avg acc: 0.866924
Train 45, loss: 1.511596, train acc: 0.932512, train avg acc: 0.894282
Test 45, loss: 1.571737, test acc: 0.885332, test avg acc: 0.848797
Train 46, loss: 1.511509, train acc: 0.930680, train avg acc: 0.892354
Test 46, loss: 1.540312, test acc: 0.888574, test avg acc: 0.848006
Train 47, loss: 1.518506, train acc: 0.931901, train avg acc: 0.896631
Test 47, loss: 1.500611, test acc: 0.905592, test avg acc: 0.867814
Train 48, loss: 1.516709, train acc: 0.933123, train avg acc: 0.897584
Test 48, loss: 1.536520, test acc: 0.890194, test avg acc: 0.862773
Train 49, loss: 1.507410, train acc: 0.936075, train avg acc: 0.902749
Test 49, loss: 1.489526, test acc: 0.916126, test avg acc: 0.883959
Train 50, loss: 1.503288, train acc: 0.938009, train avg acc: 0.904091
Test 50, loss: 1.513897, test acc: 0.909643, test avg acc: 0.872250
Train 51, loss: 1.496223, train acc: 0.937907, train avg acc: 0.904189
Test 51, loss: 1.519964, test acc: 0.903160, test avg acc: 0.868366
Train 52, loss: 1.503329, train acc: 0.935871, train avg acc: 0.901000
Test 52, loss: 1.539344, test acc: 0.896677, test avg acc: 0.852855
Train 53, loss: 1.504916, train acc: 0.935871, train avg acc: 0.902074
Test 53, loss: 1.542855, test acc: 0.894652, test avg acc: 0.872477
Train 54, loss: 1.502701, train acc: 0.936686, train avg acc: 0.902292
Test 54, loss: 1.527006, test acc: 0.904781, test avg acc: 0.877820
Train 55, loss: 1.503326, train acc: 0.935871, train avg acc: 0.902718
Test 55, loss: 1.552882, test acc: 0.892626, test avg acc: 0.861291
Train 56, loss: 1.498582, train acc: 0.936584, train avg acc: 0.906239
Test 56, loss: 1.520021, test acc: 0.898703, test avg acc: 0.854593
Train 57, loss: 1.499359, train acc: 0.935668, train avg acc: 0.900929
Test 57, loss: 1.554828, test acc: 0.903566, test avg acc: 0.874570
Train 58, loss: 1.491733, train acc: 0.941572, train avg acc: 0.911428
Test 58, loss: 1.485309, test acc: 0.919773, test avg acc: 0.887959
Max Acc:0.919773
Train 59, loss: 1.488438, train acc: 0.942691, train avg acc: 0.914995
Test 59, loss: 1.492068, test acc: 0.917747, test avg acc: 0.870581
Train 60, loss: 1.487584, train acc: 0.943099, train avg acc: 0.912891
Test 60, loss: 1.483386, test acc: 0.916126, test avg acc: 0.878198
Train 61, loss: 1.495941, train acc: 0.938416, train avg acc: 0.906126
Test 61, loss: 1.520028, test acc: 0.899109, test avg acc: 0.872762
Train 62, loss: 1.483804, train acc: 0.943607, train avg acc: 0.911836
Test 62, loss: 1.485160, test acc: 0.916532, test avg acc: 0.889959
Train 63, loss: 1.488713, train acc: 0.945542, train avg acc: 0.917712
Test 63, loss: 1.481369, test acc: 0.921799, test avg acc: 0.885744
Max Acc:0.921799
Train 64, loss: 1.475634, train acc: 0.946559, train avg acc: 0.917736
Test 64, loss: 1.492137, test acc: 0.908023, test avg acc: 0.874890
Train 65, loss: 1.481593, train acc: 0.944116, train avg acc: 0.915024
Test 65, loss: 1.488136, test acc: 0.916937, test avg acc: 0.871628
Train 66, loss: 1.476821, train acc: 0.946967, train avg acc: 0.919379
Test 66, loss: 1.475373, test acc: 0.916937, test avg acc: 0.889331
Train 67, loss: 1.473701, train acc: 0.945338, train avg acc: 0.918130
Test 67, loss: 1.544789, test acc: 0.890194, test avg acc: 0.858727
Train 68, loss: 1.476095, train acc: 0.946050, train avg acc: 0.915838
Test 68, loss: 1.494766, test acc: 0.910454, test avg acc: 0.882250
Train 69, loss: 1.471503, train acc: 0.945440, train avg acc: 0.918425
Test 69, loss: 1.481666, test acc: 0.920989, test avg acc: 0.888169
Train 70, loss: 1.467926, train acc: 0.951140, train avg acc: 0.923710
Test 70, loss: 1.484438, test acc: 0.914506, test avg acc: 0.877744
Train 71, loss: 1.467063, train acc: 0.952769, train avg acc: 0.926689
Test 71, loss: 1.527734, test acc: 0.892220, test avg acc: 0.873302
Train 72, loss: 1.470966, train acc: 0.948493, train avg acc: 0.921401
Test 72, loss: 1.518895, test acc: 0.900729, test avg acc: 0.875930
Train 73, loss: 1.458465, train acc: 0.954092, train avg acc: 0.930173
Test 73, loss: 1.472067, test acc: 0.920583, test avg acc: 0.877581
Train 74, loss: 1.462330, train acc: 0.950122, train avg acc: 0.925054
Test 74, loss: 1.544519, test acc: 0.909238, test avg acc: 0.884884
Train 75, loss: 1.457131, train acc: 0.953176, train avg acc: 0.926740
Test 75, loss: 1.477203, test acc: 0.916126, test avg acc: 0.884471
Train 76, loss: 1.455360, train acc: 0.955721, train avg acc: 0.932576
Test 76, loss: 1.479831, test acc: 0.916937, test avg acc: 0.891198
Train 77, loss: 1.455753, train acc: 0.954397, train avg acc: 0.931552
Test 77, loss: 1.509285, test acc: 0.908428, test avg acc: 0.879721
Train 78, loss: 1.457097, train acc: 0.953990, train avg acc: 0.932248
Test 78, loss: 1.480021, test acc: 0.914911, test avg acc: 0.883041
Train 79, loss: 1.455453, train acc: 0.954703, train avg acc: 0.931021
Test 79, loss: 1.503006, test acc: 0.900729, test avg acc: 0.879174
Train 80, loss: 1.449169, train acc: 0.959589, train avg acc: 0.938336
Test 80, loss: 1.460130, test acc: 0.920989, test avg acc: 0.881791
Train 81, loss: 1.449544, train acc: 0.959792, train avg acc: 0.938124
Test 81, loss: 1.484455, test acc: 0.913695, test avg acc: 0.882802
Train 82, loss: 1.446966, train acc: 0.957757, train avg acc: 0.935807
Test 82, loss: 1.477052, test acc: 0.923015, test avg acc: 0.894134
Max Acc:0.923015
Train 83, loss: 1.444049, train acc: 0.959487, train avg acc: 0.936647
Test 83, loss: 1.489200, test acc: 0.910454, test avg acc: 0.887465
Train 84, loss: 1.440888, train acc: 0.961421, train avg acc: 0.942271
Test 84, loss: 1.469267, test acc: 0.921394, test avg acc: 0.886785
Train 85, loss: 1.439671, train acc: 0.958265, train avg acc: 0.936506
Test 85, loss: 1.493257, test acc: 0.910049, test avg acc: 0.876552
Train 86, loss: 1.439289, train acc: 0.956942, train avg acc: 0.935071
Test 86, loss: 1.484577, test acc: 0.910859, test avg acc: 0.881000
Train 87, loss: 1.439011, train acc: 0.961828, train avg acc: 0.944012
Test 87, loss: 1.486212, test acc: 0.914100, test avg acc: 0.877593
Train 88, loss: 1.440418, train acc: 0.961217, train avg acc: 0.942678
Test 88, loss: 1.491242, test acc: 0.908428, test avg acc: 0.877308
Train 89, loss: 1.435135, train acc: 0.959792, train avg acc: 0.940521
Test 89, loss: 1.479905, test acc: 0.918152, test avg acc: 0.888297
Train 90, loss: 1.427530, train acc: 0.966002, train avg acc: 0.948283
Test 90, loss: 1.477669, test acc: 0.912075, test avg acc: 0.875872
Train 91, loss: 1.434927, train acc: 0.961930, train avg acc: 0.940445
Test 91, loss: 1.463133, test acc: 0.913290, test avg acc: 0.884372
Train 92, loss: 1.431012, train acc: 0.963253, train avg acc: 0.945574
Test 92, loss: 1.493339, test acc: 0.914911, test avg acc: 0.888709
Train 93, loss: 1.428842, train acc: 0.967529, train avg acc: 0.949066
Test 93, loss: 1.468480, test acc: 0.916126, test avg acc: 0.885843
Train 94, loss: 1.431205, train acc: 0.963864, train avg acc: 0.944728
Test 94, loss: 1.467616, test acc: 0.916937, test avg acc: 0.884762
Train 95, loss: 1.425830, train acc: 0.965594, train avg acc: 0.947753
Test 95, loss: 1.464020, test acc: 0.918963, test avg acc: 0.883919
Train 96, loss: 1.424006, train acc: 0.966103, train avg acc: 0.949495
Test 96, loss: 1.466887, test acc: 0.920989, test avg acc: 0.888221
Train 97, loss: 1.422976, train acc: 0.968139, train avg acc: 0.951825
Test 97, loss: 1.492588, test acc: 0.910859, test avg acc: 0.873971
Train 98, loss: 1.417595, train acc: 0.970073, train avg acc: 0.953622
Test 98, loss: 1.465514, test acc: 0.918963, test avg acc: 0.887715
Train 99, loss: 1.413532, train acc: 0.970379, train avg acc: 0.954516
Test 99, loss: 1.492416, test acc: 0.912480, test avg acc: 0.886837
Train 100, loss: 1.415721, train acc: 0.968750, train avg acc: 0.953397
Test 100, loss: 1.475449, test acc: 0.915721, test avg acc: 0.885128
Train 101, loss: 1.413990, train acc: 0.969971, train avg acc: 0.952833
Test 101, loss: 1.457113, test acc: 0.923825, test avg acc: 0.901407
Max Acc:0.923825
Train 102, loss: 1.409828, train acc: 0.971091, train avg acc: 0.957260
Test 102, loss: 1.476476, test acc: 0.912075, test avg acc: 0.881169
Train 103, loss: 1.411197, train acc: 0.971600, train avg acc: 0.956804
Test 103, loss: 1.471957, test acc: 0.919773, test avg acc: 0.889802
Train 104, loss: 1.411992, train acc: 0.969361, train avg acc: 0.953027
Test 104, loss: 1.464939, test acc: 0.916126, test avg acc: 0.881163
Train 105, loss: 1.406105, train acc: 0.972923, train avg acc: 0.959343
Test 105, loss: 1.480607, test acc: 0.910859, test avg acc: 0.872715
Train 106, loss: 1.403695, train acc: 0.972923, train avg acc: 0.957987
